source,last_updated,period,narrow_money_m1,broad_money_m2,currency_outside_banks,total_credit,credit_for_agriculture_forestry_and_fishing,credit_for_cocoa_marketing,credit_for_commerce_and_finance,credit_for_construction,credit_for_electricity_gas_and_water,credit_for_export_trade,credit_for_import_trade,credit_for_manufacturing,credit_for_mining_and_quarrying,credit_for_miscellaneous,credit_for_services,credit_for_transport_storage_and_communication
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-07,138489807250.0,209091582960.0,46752867480.0,,3045512100.0,63638100.0,12173939300.0,7897811500.0,3438078100.0,526602800.0,6737115200.0,9290172900.0,2715367800.0,4578600700.0,28044513700.0,6258070300.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-06,135922215200.0,203824717450.0,44895555710.0,84478709500.0,3050752000.0,66356200.0,11731597200.0,7672081800.0,3319203800.0,577223000.0,7511489000.0,9084034200.0,2760900400.0,4676913000.0,27747447600.0,6280711300.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-05,132095848710.0,198666170490.0,43382739210.0,81287957100.0,2921347200.0,59597200.0,11485537800.0,7320518100.0,2845946100.0,513569300.0,7299210900.0,8692270300.0,2242922500.0,4661457700.0,26975841700.0,6269738200.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-04,127370083550.0,197131660610.0,41690789490.0,77938588800.0,2811660100.0,66873800.0,10689572000.0,6792220800.0,3114392800.0,464777100.0,6665933900.0,8248633400.0,2468040600.0,4659788800.0,25887439700.0,6069255900.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-03,123720496130.0,190181446240.0,39677969070.0,77031279000.0,2645763800.0,66873800.0,10831424700.0,7087106400.0,3312680700.0,398524800.0,5586137000.0,8420292100.0,2200809400.0,4463690800.0,26123775800.0,5894199700.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-02,119844390000.0,184856280000.0,37132080000.0,74788960300.0,2403960800.0,,10072822500.0,7006632500.0,2905839500.0,375514000.0,5681632500.0,8394125700.0,2249134100.0,4478875200.0,25333759100.0,5817114300.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-01,116938350000.0,181622650000.0,36182630000.0,73768801500.0,2328875000.0,69802900.0,10374412100.0,6939180300.0,2879337100.0,316098100.0,5393670400.0,8153300400.0,2307975500.0,4426470100.0,25154084300.0,5425595400.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-12,121784770000.0,185426120000.0,37621030000.0,77009668100.0,3024855550.0,73878120.0,11741725480.0,7113618920.0,3324427630.0,546387080.0,5190842200.0,8203488630.0,2129909050.0,4997691730.0,25511090100.0,5151753580.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-11,109182640000.0,170445630000.0,35213780000.0,75030490800.0,2741377120.0,78695480.0,11499862980.0,6553454480.0,3277045060.0,549480060.0,4978808860.0,7676422110.0,2357605370.0,4734453000.0,25513563720.0,5069722520.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-10,104579230000.0,164098140000.0,33301240000.0,73525063800.0,2564045740.0,79006980.0,10958768100.0,6472979450.0,3245070800.0,466438710.0,5132438570.0,7607343840.0,2238155450.0,4744292060.0,25055190030.0,4961334060.0
