source,last_updated,period,producer_price_index_all_industries,producer_price_index_mining_and_quarrying,producer_price_index_mining_and_quarrying_excluding_petroleum_*,producer_price_index_manufacturing,producer_price_index_electricity_and_gas,producer_price_index_water_supply_sewerage_waste_management,producer_price_index_water_collection_treatment_and_supply*,producer_price_index_construction,producer_price_index_transportation_and_storage,producer_price_index_accommdation_and_food_service,producer_price_index_information_and_communication,year_on_year_ppi_change_all_industries,year_on_year_ppi_change_mining_and_quarrying,year_on_year_ppi_change_mining_and_quarrying_excluding_petroleum_*,year_on_year_ppi_change_manufacturing,year_on_year_ppi_change_electricity_and_gas,year_on_year_ppi_change_water_supply_sewerage_waste_management,year_on_year_ppi_change_water_collection_treatment_and_supply*,year_on_year_ppi_change_construction,year_on_year_ppi_change_transportation_and_storage,year_on_year_ppi_change_accommdation_and_food_service,year_on_year_ppi_change_information_and_communication,month_on_month_ppi_change_all_industries,month_on_month_ppi_change_mining_and_quarrying,month_on_month_ppi_change_mining_and_quarrying_excluding_petroleum_*,month_on_month_ppi_change_manufacturing,month_on_month_ppi_change_electricity_and_gas,month_on_month_ppi_change_water_supply_sewerage_waste_management,month_on_month_ppi_change_water_collection_treatment_and_supply*,month_on_month_ppi_change_construction,month_on_month_ppi_change_transportation_and_storage,month_on_month_ppi_change_accommdation_and_food_service,month_on_month_ppi_change_information_and_communication
Ghana Statistical Service (GSS StatsBank),2026-04-20,2026-01,274.9,368.3,479.9,261.2,234.1,174.5,189.4,224.6,224.9,232.2,127.3,1.6,3.7,31.5,-2.2,14.8,9.9,17.2,1.1,-6.9,-5.4,1.4,3.3,7.0,11.7,-0.4,8.6,7.5,15.5,-0.5,-2.3,-0.4,-0.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-12,266.0,344.3,429.6,262.2,215.6,162.4,164.0,225.7,230.2,233.2,127.4,1.9,3.3,21.8,0.1,6.1,2.3,1.5,1.9,-3.7,-3.2,1.7,-0.8,-1.4,-0.2,-0.6,0.1,0.0,0.0,0.3,0.9,0.7,0.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-11,268.1,349.0,430.4,263.7,215.4,162.3,164.0,225.1,228.3,231.7,127.3,1.3,2.3,23.2,0.5,4.0,2.3,1.5,0.7,-10.2,-6.1,1.5,-1.9,-4.6,-5.7,0.5,-0.8,0.0,0.0,0.4,-0.9,-1.1,0.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-10,273.4,366.0,456.4,262.5,217.2,162.4,164.0,224.2,230.3,234.3,127.3,1.4,0.7,16.9,2.5,5.0,2.3,1.5,0.4,-8.7,-1.7,1.6,1.2,1.5,1.9,1.5,-0.6,0.0,0.0,2.8,1.7,-1.0,0.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-09,270.1,360.5,447.8,258.7,218.5,162.4,164.0,218.0,226.4,236.8,127.3,3.2,5.0,23.4,1.7,9.0,3.1,3.2,4.6,-8.2,0.6,1.7,0.9,1.4,0.9,0.2,2.6,1.7,0.0,0.2,2.1,5.2,0.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-08,267.7,355.6,443.6,258.3,212.9,159.7,164.0,217.5,221.8,225.0,127.0,3.0,4.9,29.5,1.5,6.9,4.4,5.2,4.9,-8.0,-3.4,1.5,2.1,3.5,3.7,1.4,0.8,0.0,0.0,0.1,2.0,1.5,0.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-07,262.2,343.5,427.7,254.7,211.3,159.7,164.0,217.4,217.4,221.7,126.9,3.7,4.6,33.1,3.2,6.7,5.1,5.2,5.3,-8.1,-2.8,2.6,1.5,2.2,3.8,1.2,2.2,0.5,1.1,0.3,1.1,1.5,0.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-06,258.2,336.2,412.2,251.7,206.7,158.8,162.3,216.6,215.1,218.4,126.9,5.8,6.5,33.6,7.2,5.1,4.5,4.1,5.9,-7.0,-2.8,2.6,-1.6,-2.0,-0.8,-1.4,-3.4,-0.1,0.0,-0.5,0.7,-6.6,-0.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-05,262.4,343.2,415.7,255.3,214.1,158.9,162.3,217.8,213.6,233.8,127.2,10.2,13.6,39.9,10.1,8.9,5.2,5.3,7.4,-4.8,6.4,2.9,-4.3,-4.8,-2.0,-5.5,4.6,0.1,0.4,-2.8,-13.5,-9.2,-0.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2025-04,274.1,360.3,424.3,270.2,204.6,158.7,161.6,224.0,247.0,257.5,127.6,18.7,24.3,56.0,19.9,5.3,5.8,4.8,13.9,16.2,20.6,3.4,-0.7,-1.6,2.7,-0.4,-0.4,0.0,0.0,-0.2,-1.5,-0.4,1.5
