dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Urban Classic Leather Sneakers - Navy Blue (White Sole),400.0,"Men's, 39, 40, 41, 42, 43, 44, 45",Greater Accra,Asylum Down,"Greater Accra, Asylum Down","Verified ID, 5",Step into effortless style with these sleek Urban Classic Leather Sneakers. Designed for the modern...,False,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Richard Mille,6000.0,Men's,Greater Accra,East Legon,"Greater Accra, East Legon",Verified ID,Richard Mille wrist watches,True,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Quality Kids Shoes Promo Buy 3 Get One Free,100.0,"Unisex, 28, 30, 27, 26, 29, 22, 25, 31, 32, 33, 34",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Buy your kids shoes at an affordable price. We are running a promo buy 3 get 1 free,False,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Coach Mini Rohan Bags,400.0,Women's,Greater Accra,Nima,"Greater Accra, Nima","Verified ID, 3+ years on Jiji",Original mini Rohan coach bags in boxes,False,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Nike Air Liquid Max,550.0,"Men's, 40, 41, 42, 43, 44, 45",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",Available in all sizes and in box,False,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Insulated Lunch Bowl,75.0,,Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe",,"Call or WhatsApp054*********/
Ashaley Botwe lakeside Police Station (Glory gate)
Pick up is allowed",False,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Baby Organizer,200.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 3+ years on Jiji","Baby toiletries organizer 
Baby stand",False,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Multipurpose 180° Opening Design Travel Backpack,300.0,Unisex,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Waterproof Backpacks 
Very good quality 
Durable 
Very strong 
Kindly WhatsApp or call me to make...",False,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Quality Kids Converse,100.0,"Unisex, 22, 24, 25, 31, 32, 33, 34, 35",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5",Quality kids converse for both girls and boys. Good for school and all occasions. Buy 4 get 1...,False,Platform A,
SG Market Price Index – Fashion,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Fashion,Graduation Gown for Rent,40.0,,Greater Accra,Ashaiman Municipal,"Greater Accra, Ashaiman Municipal",5+ years on Jiji,We rent out graduation gowns. Terms and conditions apply,False,Platform A,
