year,country,country_code,source,last_updated,gdp_current_usd,gdp_growth_rate,gdp_per_capita_current_usd,gdp_per_capita_growth,inflation_rate_cpi,official_exchange_rate_lcu_per_usd,government_debt_of_gdp,government_revenue_of_gdp,government_expenditure_of_gdp,gross_savings_of_gdp
2024,Ghana,GH,World Bank Open Data,2026-04-20,82308110386.4641,5.5905,2390.7724,3.6291,22.8483,14.1819,,,,14.0176
2023,Ghana,GH,World Bank Open Data,2026-04-20,80547146878.3843,3.1401,2383.9041,1.1902,38.107,11.0204,,15.0223,,7.9501
2022,Ghana,GH,World Bank Open Data,2026-04-20,73919003209.9866,3.8048,2229.8912,1.8305,31.2559,8.2724,,15.5506,22.679,18.7088
2021,Ghana,GH,World Bank Open Data,2026-04-20,79514204730.3979,5.0765,2445.1866,3.038,9.9711,5.8057,,14.9264,20.7509,15.595
2020,Ghana,GH,World Bank Open Data,2026-04-20,70008243859.8666,0.5139,2195.4548,-1.4683,9.8873,5.5957,,13.7545,21.8836,21.0782
2019,Ghana,GH,World Bank Open Data,2026-04-20,68352629246.1555,6.5078,2186.6582,4.3906,7.1436,5.2174,,14.6948,17.5109,17.5896
2018,Ghana,GH,World Bank Open Data,2026-04-20,67259353965.6087,6.2001,2195.3217,4.019,7.8088,4.5853,,15.0693,17.6018,20.0001
2017,Ghana,GH,World Bank Open Data,2026-04-20,60385409434.8567,8.1289,2012.2866,5.7809,12.3719,4.3505,,14.5205,17.3552,15.861
2016,Ghana,GH,World Bank Open Data,2026-04-20,56144179397.8516,3.3735,1912.4799,1.047,17.4546,3.9098,,14.1589,18.2896,18.6362
2015,Ghana,GH,World Bank Open Data,2026-04-20,49436806230.4839,2.1208,1722.7728,-0.2083,17.15,3.7146,,14.5298,17.3643,21.0998
