year,country,country_code,source,last_updated,gdp_current_usd,gdp_growth_rate,gdp_per_capita_current_usd,gdp_per_capita_growth,inflation_rate_cpi,official_exchange_rate_lcu_per_usd,government_debt_of_gdp,government_revenue_of_gdp,government_expenditure_of_gdp,gross_savings_of_gdp
2024,Ghana,GH,World Bank Open Data,2026-04-20,82308110386.4641,5.5905,2390.7724,3.6291,22.8483,14.1819,,,,14.0176
2023,Ghana,GH,World Bank Open Data,2026-04-20,80547146878.3843,3.1401,2383.9041,1.1902,38.107,11.0204,,15.0223,,7.9501
2022,Ghana,GH,World Bank Open Data,2026-04-20,73919003209.9866,3.8048,2229.8912,1.8305,31.2559,8.2724,,15.5506,22.679,18.7088
2021,Ghana,GH,World Bank Open Data,2026-04-20,79514204730.3979,5.0765,2445.1866,3.038,9.9711,5.8057,,14.9264,20.7509,15.595
2020,Ghana,GH,World Bank Open Data,2026-04-20,70008243859.8666,0.5139,2195.4548,-1.4683,9.8873,5.5957,,13.7545,21.8836,21.0782
2019,Ghana,GH,World Bank Open Data,2026-04-20,68352629246.1555,6.5078,2186.6582,4.3906,7.1436,5.2174,,14.6948,17.5109,17.5896
2018,Ghana,GH,World Bank Open Data,2026-04-20,67259353965.6087,6.2001,2195.3217,4.019,7.8088,4.5853,,15.0693,17.6018,20.0001
2017,Ghana,GH,World Bank Open Data,2026-04-20,60385409434.8567,8.1289,2012.2866,5.7809,12.3719,4.3505,,14.5205,17.3552,15.861
2016,Ghana,GH,World Bank Open Data,2026-04-20,56144179397.8516,3.3735,1912.4799,1.047,17.4546,3.9098,,14.1589,18.2896,18.6362
2015,Ghana,GH,World Bank Open Data,2026-04-20,49436806230.4839,2.1208,1722.7728,-0.2083,17.15,3.7146,,14.5298,17.3643,21.0998
2014,Ghana,GH,World Bank Open Data,2026-04-20,54678533805.9064,2.8562,1949.9083,0.4522,15.4896,2.8966,,14.215,18.2035,18.2399
2013,Ghana,GH,World Bank Open Data,2026-04-20,62845721959.827,7.3125,2294.7958,4.758,11.6662,1.9814,,14.2263,19.2811,15.1938
2012,Ghana,GH,World Bank Open Data,2026-04-20,41271701060.954,9.2928,1543.7752,6.6797,11.1863,1.8249,,19.3393,26.8839,5.2675
2011,Ghana,GH,World Bank Open Data,2026-04-20,39336668080.559,14.0471,1507.4357,11.337,8.7285,1.5206,,19.3717,21.1409,3.8818
2010,Ghana,GH,World Bank Open Data,2026-04-20,32197655566.5347,7.8997,1263.8925,5.3062,10.7334,1.43,,16.6915,20.1575,4.8709
2009,Ghana,GH,World Bank Open Data,2026-04-20,26048720005.5233,4.8445,1047.7043,2.2607,19.2469,1.405,,15.4185,18.028,11.0362
2008,Ghana,GH,World Bank Open Data,2026-04-20,28679383241.0729,9.1498,1182.6576,6.4147,16.4946,1.0523,,15.6942,20.5461,4.341
2007,Ghana,GH,World Bank Open Data,2026-04-20,24827339138.4906,4.3468,1050.1246,1.6917,10.7343,0.9326,,15.6669,17.8651,6.7438
2006,Ghana,GH,World Bank Open Data,2026-04-20,20885037596.6963,6.3999,906.441,3.6695,11.6792,0.9151,,13.3047,15.2883,17.4115
2005,Ghana,GH,World Bank Open Data,2026-04-20,10744568381.4456,5.9,478.6119,3.1586,15.439,0.9052,,23.6885,22.7458,19.2073
2004,Ghana,GH,World Bank Open Data,2026-04-20,8881417906.7143,5.6,406.1321,2.8398,18.0427,0.8995,,23.7121,23.4793,22.8717
2003,Ghana,GH,World Bank Open Data,2026-04-20,7632723555.6622,5.2,358.3993,2.3976,29.773,0.8668,,19.7668,22.0204,21.1563
2002,Ghana,GH,World Bank Open Data,2026-04-20,6166197847.8503,4.5,297.4616,1.6653,9.3609,0.7924,,18.0096,20.029,18.7543
2001,Ghana,GH,World Bank Open Data,2026-04-20,5314872854.4405,4.0,263.5422,1.2669,41.5095,0.7163,,18.1061,18.7116,21.0927
2000,Ghana,GH,World Bank Open Data,2026-04-20,4982850662.2085,3.7,253.7469,1.1271,40.2409,0.5449,,,,15.2659
1993,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,16.9825,,
1992,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,11.9006,,
